# Synthetic Unihan_Readings.txt extracted from hexagram output
U+5C6F	kDefinition	village, hamlet; camp; station; hexagram ䷂
U+812B	kMandarin	tuō
U+812B	kDefinition	take off, peel off, strip
U+5916	kMandarin	wài
U+5916	kDefinition	out, outside, external; foreign
U+4E38	kMandarin	wán
U+4E38	kDefinition	small round object; pellet, pill
U+4E07	kMandarin	wàn
U+4E07	kDefinition	ten thousand; innumerable
U+842C	kMandarin	wàn
U+842C	kDefinition	ten thousand; innumerable
U+4EA1	kMandarin	wáng
U+4EA1	kDefinition	death, destroyed; lose, perish
U+738B	kMandarin	wáng
U+738B	kDefinition	king, ruler; royal; surname
U+5984	kMandarin	wàng
U+5984	kDefinition	absurd, foolish, reckless; false
U+671B	kMandarin	wàng
U+671B	kDefinition	to look at, look forward; to hope, expect
U+5371	kMandarin	wēi
U+5371	kDefinition	dangerous, precarious; high; 12th lunar mansion, determinative star α Aquarii (Sadalmelik)
U+5FAE	kMandarin	wēi
U+5FAE	kDefinition	small, prefix micro-, trifling
U+552F	kMandarin	wéi
U+552F	kDefinition	only; yes
U+8FDD	kMandarin	wéi
U+8FDD	kDefinition	disobey, violate, defy; be apart from
U+9055	kMandarin	wéi
U+9055	kDefinition	disobey, violate, defy; be apart from
U+4E3A	kMandarin	wèi
U+4E3A	kDefinition	do, handle, govern, act; be
U+4F4D	kMandarin	wèi
U+4F4D	kDefinition	throne; position, post; rank, status; seat
U+672A	kMandarin	wèi
U+672A	kDefinition	not yet; eighth earthly branch
U+70BA	kMandarin	wèi
U+70BA	kDefinition	do, handle, govern, act; be
U+875F	kMandarin	wèi
U+875F	kDefinition	hedgehog
U+885B	kMandarin	wèi
U+885B	kDefinition	guard, protect, defend
U+8B02	kMandarin	wèi
U+8B02	kDefinition	say, tell; call, name; be called
U+8C13	kMandarin	wèi
U+8C13	kDefinition	say, tell; call, name; be called
U+8F4A	kMandarin	wèi
U+8F4A	kDefinition	axle-tip
U+6587	kMandarin	wén
U+6587	kDefinition	literature, culture, writing
U+554F	kMandarin	wèn
U+554F	kDefinition	ask (about), inquire after
U+95EE	kMandarin	wèn
U+95EE	kDefinition	ask about, inquire after
U+8E12	kMandarin	wō
U+8E12	kDefinition	to slip and sprain a limb
U+6211	kMandarin	wǒ
U+6211	kDefinition	our, us, i, me, my, we
U+63E1	kMandarin	wò
U+63E1	kDefinition	grasp, hold fast, take by hand
U+81E5	kMandarin	wò
U+81E5	kDefinition	lie down; crouch
U+543E	kMandarin	wú
U+543E	kDefinition	i, my, our; resist, impede
U+65E0	kMandarin	wú
U+65E0	kDefinition	negative, no, not; Kangxi radical 71
U+7121	kMandarin	wú
U+7121	kDefinition	negative, no, not; lack, have no
U+4E94	kMandarin	wǔ
U+4E94	kDefinition	five; surname
U+6B66	kMandarin	wǔ
U+6B66	kDefinition	military; martial, warlike
U+52D9	kMandarin	wù
U+52D9	kDefinition	affairs, business; must, should
U+52FF	kMandarin	wù
U+52FF	kDefinition	must not, do not; without, never
U+620A	kMandarin	wù
U+620A	kDefinition	5th heavenly stem
U+7269	kMandarin	wù
U+7269	kDefinition	thing, substance, creature
U+8AA4	kMandarin	wù
U+8AA4	kDefinition	err, make mistake; interfere
U+5915	kMandarin	xī
U+5915	kDefinition	evening, night, dusk; slanted
U+606F	kMandarin	xī
U+606F	kDefinition	rest, put stop to, end, cease
U+72A7	kMandarin	xī
U+72A7	kDefinition	sacrifice, give up; sacrificial
U+897F	kMandarin	xī
U+897F	kDefinition	west(ern); westward; occident; Kangxi radical 146
U+559C	kMandarin	xǐ
U+559C	kDefinition	like, love, enjoy; joyful thing
U+9699	kMandarin	xì
U+9699	kDefinition	crack, split, fissure; grudge
U+4E0B	kMandarin	xià
U+4E0B	kDefinition	under, underneath, below; down; inferior; bring down
U+590F	kMandarin	xià
U+590F	kDefinition	summer; great, grand, big
U+5148	kMandarin	xiān
U+5148	kDefinition	first, former, previous
U+9BAE	kMandarin	xiān
U+9BAE	kDefinition	fresh, new, delicious; rare, few
U+54B8	kMandarin	xián
U+54B8	kDefinition	together; all, completely; united; hexagram ䷞
U+5ACC	kMandarin	xián
U+5ACC	kDefinition	hate, detest; suspect; criticize
U+7D43	kMandarin	xián
U+7D43	kDefinition	string on musical instrument
U+8CE2	kMandarin	xián
U+8CE2	kDefinition	virtuous, worthy, good; able
U+8D24	kMandarin	xián
U+8D24	kDefinition	virtuous, worthy, good; able
U+9592	kMandarin	xián
U+9592	kDefinition	leisure; idle; peaceful, tranquil, calm
U+95F2	kMandarin	xián
U+95F2	kDefinition	fence, guard; defend; idle time
U+96AA	kMandarin	xiǎn
U+96AA	kDefinition	narrow pass, strategic point, dangerous
U+76F8	kMandarin	xiāng
U+76F8	kDefinition	mutual, reciprocal, each other
U+9109	kMandarin	xiāng
U+9109	kDefinition	country; rural; village
U+7965	kMandarin	xiáng
U+7965	kDefinition	good luck, good omen; happiness
U+4EAB	kMandarin	xiǎng
U+4EAB	kDefinition	enjoy
U+8C61	kMandarin	xiàng
U+8C61	kDefinition	elephant; ivory; figure, image
U+92B7	kMandarin	xiāo
U+92B7	kDefinition	melt, fuse; market, sell; to pass time, finish, cancel
U+5C0F	kMandarin	xiǎo
U+5C0F	kDefinition	small, tiny, insignificant
U+8096	kMandarin	xiào
U+8096	kDefinition	look like, resemble, be like
U+5055	kMandarin	xié
U+5055	kDefinition	together; be in order
U+90AA	kMandarin	xié
U+90AA	kDefinition	wrong, evil, depraved, vicious, perverse, heterodox
U+61C8	kMandarin	xiè
U+61C8	kDefinition	idle, relaxed, remiss
U+5FC3	kMandarin	xīn
U+5FC3	kDefinition	heart; mind, intelligence; soul; 5th lunar mansion, determinative star α Scorpii (Antares)
U+4FE1	kMandarin	xìn
U+4FE1	kDefinition	trust, believe; letter
U+661F	kMandarin	xīng
U+661F	kDefinition	a star, planet; any point of light; 25th lunar mansion, determinative star α Hydrae (Alphard)
U+5F62	kMandarin	xíng
U+5F62	kDefinition	form, shape, appearance
U+884C	kMandarin	xíng
U+884C	kDefinition	go; walk; move, travel; circulate; Kangxi radical 144
U+6027	kMandarin	xìng
U+6027	kDefinition	nature, character, sex
U+8208	kMandarin	xìng
U+8208	kDefinition	thrive, prosper, flourish
U+5144	kMandarin	xiōng
U+5144	kDefinition	elder brother
U+51F6	kMandarin	xiōng
U+51F6	kDefinition	culprit; murder; bad, sad
U+96C4	kMandarin	xióng
U+96C4	kDefinition	male of species; hero; manly
U+4F11	kMandarin	xiū
U+4F11	kDefinition	rest, stop; retire; do not!
U+4FEE	kMandarin	xiū
U+4FEE	kDefinition	study; repair; cultivate
U+8129	kMandarin	xiū
U+8129	kDefinition	dried meat (used as teachers payment in ancient times)
U+589F	kMandarin	xū
U+589F	kDefinition	high mound; hilly countryside; wasteland
U+620C	kMandarin	xū
U+620C	kDefinition	eleventh earthly branch
U+865B	kMandarin	xū
U+865B	kDefinition	false, worthless; empty, hollow; 11th lunar mansion, determinative star β Aquarii (Sadalsuud)
U+9700	kMandarin	xū
U+9700	kDefinition	need, require, must; hexagram ䷄
U+5E8F	kMandarin	xù
U+5E8F	kDefinition	series, serial order, sequence
U+6558	kMandarin	xù
U+6558	kDefinition	express, state, relate, narrate
U+61F8	kMandarin	xuán
U+61F8	kDefinition	hang, suspend, hoist; be hung
U+7384	kMandarin	xuán
U+7384	kDefinition	deep, profound, abstruse; Kangxi radical 95
U+5B66	kMandarin	xué
U+5B66	kDefinition	learning, knowledge; school
U+5B78	kMandarin	xué
U+5B78	kDefinition	learning, knowledge; school
U+7A74	kMandarin	xué
U+7A74	kDefinition	cave, den, hole; Kangxi radical 116
U+5DFD	kMandarin	xùn
U+5DFD	kDefinition	south-east; mild, modest, obedient; trigram ☴; hexagram ䷸
U+7109	kMandarin	yān
U+7109	kDefinition	thereupon, then; how? why? where?
U+5EF6	kMandarin	yán
U+5EF6	kDefinition	delay, postpone, defer
U+708E	kMandarin	yán
U+708E	kDefinition	flame, blaze; hot
U+8A00	kMandarin	yán
U+8A00	kDefinition	words, speech; speak, say; Kangxi radical 149
U+884D	kMandarin	yǎn
U+884D	kDefinition	overflow, spill over, spread out
U+71D5	kMandarin	yàn
U+71D5	kDefinition	swallow (bird); comfort, enjoy
U+6B83	kMandarin	yāng
U+6B83	kDefinition	misfortune, disaster, calamity
U+7F8A	kMandarin	yáng
U+7F8A	kDefinition	sheep, goat; Kangxi radical 123
U+9633	kMandarin	yáng
U+9633	kDefinition	'male' principle; light; sun
U+967D	kMandarin	yáng
U+967D	kDefinition	the active, male principle in Chinese philosophy (yang); light; sun
U+4EF0	kMandarin	yǎng
U+4EF0	kDefinition	raise the head to look; look up to, rely on, admire
U+723B	kMandarin	yáo
U+723B	kDefinition	diagrams for divination
U+4E5F	kMandarin	yě
U+4E5F	kDefinition	also; classical final particle of strong affirmation or identity
U+91CE	kMandarin	yě
U+91CE	kDefinition	open country, field; wilderness
U+4E1A	kMandarin	yè
U+4E1A	kDefinition	profession, business; GB radical 111
U+591C	kMandarin	yè
U+591C	kDefinition	night, dark; in night; by night
U+696D	kMandarin	yè
U+696D	kDefinition	profession, business, trade
U+8B01	kMandarin	yè
U+8B01	kDefinition	visit, pay respects to
U+4E00	kMandarin	yī
U+4E00	kDefinition	one; a, an; alone
U+4F9D	kMandarin	yī
U+4F9D	kDefinition	rely on, be set in; consent, obey a wish
U+8863	kMandarin	yī
U+8863	kDefinition	clothes, clothing; cover, skin; Kangxi radical 145
U+5937	kMandarin	yí
U+5937	kDefinition	ancient barbarian tribes
U+5B9C	kMandarin	yí
U+5B9C	kDefinition	suitable, right, fitting, proper
U+7591	kMandarin	yí
U+7591	kDefinition	doubt, question, suspect
U+79FB	kMandarin	yí
U+79FB	kDefinition	change place, shift; move about
U+907A	kMandarin	yí
U+907A	kDefinition	lose; articles lost; omit
U+9824	kMandarin	yí
U+9824	kDefinition	cheeks; jaw; chin; rear; to nourish; hexagram ䷚
U+4EE5	kMandarin	yǐ
U+4EE5	kDefinition	by means of; thereby, therefore; consider as; in order to
U+5DF2	kMandarin	yǐ
U+5DF2	kDefinition	already; finished; stop
U+77E3	kMandarin	yǐ
U+77E3	kDefinition	particle of completed action
U+8E26	kMandarin	yǐ
U+8E26	kDefinition	the shin; to pierce; to touch
U+4E49	kMandarin	yì
U+4E49	kDefinition	right conduct, righteousness
U+4EA6	kMandarin	yì
U+4EA6	kDefinition	also, too; likewise
U+5F79	kMandarin	yì
U+5F79	kDefinition	service; a servant, laborer; to serve
U+610F	kMandarin	yì
U+610F	kDefinition	thought, idea, opinion; think
U+61B6	kMandarin	yì
U+61B6	kDefinition	remember, reflect upon; memory
U+6613	kMandarin	yì
U+6613	kDefinition	change; easy
U+76CA	kMandarin	yì
U+76CA	kDefinition	profit, benefit; advantage; hexagram ䷩
U+7FA9	kMandarin	yì
U+7FA9	kDefinition	right conduct, righteousness
U+8A63	kMandarin	yì
U+8A63	kDefinition	reach; achievement, accomplishment
U+8B6F	kMandarin	yì
U+8B6F	kDefinition	translate; decode; encode
U+8B70	kMandarin	yì
U+8B70	kDefinition	consult, talk over, discuss
U+93B0	kMandarin	yì
U+93B0	kDefinition	ancient of weight for gold, equal to 20 or 24 taels
U+9DC1	kMandarin	yì
U+9DC1	kDefinition	fishhawk; bow or prow
U+56E0	kMandarin	yīn
U+56E0	kDefinition	cause, reason; by; because (of)
U+7616	kMandarin	yīn
U+7616	kDefinition	dumb, mute, unable speak
U+9670	kMandarin	yīn
U+9670	kDefinition	the passive, female principle in Chinese philosophy (yin); dark; secret
U+9690	kMandarin	yǐn
U+9690	kDefinition	hide, conceal; hidden, secret
U+96B1	kMandarin	yǐn
U+96B1	kDefinition	hide, conceal; hidden, secret
U+98F2	kMandarin	yǐn
U+98F2	kDefinition	drink; swallow; kind of drink
U+5E94	kMandarin	yīng
U+5E94	kDefinition	should, ought to, must
U+61C9	kMandarin	yīng
U+61C9	kDefinition	should, ought to, must
U+76C8	kMandarin	yíng
U+76C8	kDefinition	fill; full, overflowing; surplus
U+5EB8	kMandarin	yōng
U+5EB8	kDefinition	usual, common, ordinary, mediocre
U+64C1	kMandarin	yōng
U+64C1	kDefinition	embrace, hug, squeeze; crowd
U+6C38	kMandarin	yǒng
U+6C38	kDefinition	long, perpetual, eternal, forever
U+6E67	kMandarin	yǒng
U+6E67	kDefinition	well up; gush forth; rise
U+7528	kMandarin	yòng
U+7528	kDefinition	use, employ, apply, operate; use
U+5E7D	kMandarin	yōu
U+5E7D	kDefinition	quiet, secluded, tranquil; dark
U+5FE7	kMandarin	yōu
U+5FE7	kDefinition	sad, grieved; grief, melancholy
U+6182	kMandarin	yōu
U+6182	kDefinition	sad, grieved; grief, melancholy
U+5C24	kMandarin	yóu
U+5C24	kDefinition	especially, particularly
U+7336	kMandarin	yóu
U+7336	kDefinition	like, similar to, just like, as
U+904A	kMandarin	yóu
U+904A	kDefinition	wander, roam, travel
U+6709	kMandarin	yǒu
U+6709	kDefinition	have, own, possess; exist
U+53F3	kMandarin	yòu
U+53F3	kDefinition	right; west; right-wing
U+7950	kMandarin	yòu
U+7950	kDefinition	divine intervention, protection
U+4E8E	kMandarin	yú
U+4E8E	kDefinition	in, on, at; go to; surname
U+65BC	kMandarin	yú
U+65BC	kDefinition	in, at, on; interjection alas!
U+8E30	kMandarin	yú
U+8E30	kDefinition	exceed, transgress; cross over
U+8F3F	kMandarin	yú
U+8F3F	kDefinition	cart, palanquin; public opinion
U+9685	kMandarin	yú
U+9685	kDefinition	corner, nook, remote place
U+9918	kMandarin	yú
U+9918	kDefinition	surplus, excess, remainder
U+4E0E	kMandarin	yǔ
U+4E0E	kDefinition	and; with; to; for; give, grant
U+5EBE	kMandarin	yǔ
U+5EBE	kDefinition	granary; storehouse
U+79B9	kMandarin	yǔ
U+79B9	kDefinition	legendary hsia dynasty founder
U+8207	kMandarin	yǔ
U+8207	kDefinition	and; with; to; for; give, grant
U+8A9E	kMandarin	yǔ
U+8A9E	kDefinition	language, words; saying, expression
U+96E8	kMandarin	yǔ
U+96E8	kDefinition	rain; rainy; Kangxi radical 173
U+5FA1	kMandarin	yù
U+5FA1	kDefinition	drive, ride; chariot; manage
U+6108	kMandarin	yù
U+6108	kDefinition	more and more, even more
U+6B32	kMandarin	yù
U+6B32	kDefinition	desire, want, long for; intend
U+8C6B	kMandarin	yù
U+8C6B	kDefinition	relaxed, comfortable, at ease; hexagram ䷏
U+9047	kMandarin	yù
U+9047	kDefinition	meet, come across, encounter
U+9810	kMandarin	yù
U+9810	kDefinition	prepare, arrange; in advance
U+6DF5	kMandarin	yuān
U+6DF5	kDefinition	gulf, abyss, deep
U+6E0A	kMandarin	yuān
U+6E0A	kDefinition	surge up, bubble up, gush forth
U+5143	kMandarin	yuán
U+5143	kDefinition	first; dollar; origin; head
U+57A3	kMandarin	yuán
U+57A3	kDefinition	low wall
U+6E90	kMandarin	yuán
U+6E90	kDefinition	spring; source, head; surname
U+9060	kMandarin	yuǎn
U+9060	kDefinition	distant, remote, far; profound
U+6028	kMandarin	yuàn
U+6028	kDefinition	hatred, enmity, resentment
U+9858	kMandarin	yuàn
U+9858	kDefinition	desire, want; wish; ambition
U+66F0	kMandarin	yuē
U+66F0	kDefinition	say; Kangxi radical 73
U+5216	kMandarin	yuè
U+5216	kDefinition	cutting off feet as form of punishment
U+5CB3	kMandarin	yuè
U+5CB3	kDefinition	mountain peak; surname
U+6708	kMandarin	yuè
U+6708	kDefinition	moon; month; Kangxi radical 74
U+8DC3	kMandarin	yuè
U+8DC3	kDefinition	skip, jump, frolic
U+8E8D	kMandarin	yuè
U+8E8D	kDefinition	skip, jump, frolic
U+9E11	kMandarin	yuè
U+9E11	kDefinition	a legendary waterfowl; a young phoenix
U+4E91	kMandarin	yún
U+4E91	kDefinition	say, speak; clouds
U+96F2	kMandarin	yún
U+96F2	kDefinition	clouds; Yunnan province
U+904B	kMandarin	yùn
U+904B	kDefinition	luck, fortune; ship, transport
U+531D	kMandarin	zā
U+531D	kDefinition	full circle; encircle
U+54C9	kMandarin	zāi
U+54C9	kDefinition	final exclamatory particle
U+707D	kMandarin	zāi
U+707D	kDefinition	calamity, disaster, catastrophe
U+707E	kMandarin	zāi
U+707E	kDefinition	calamity, disaster, catastrophe
U+5728	kMandarin	zài
U+5728	kDefinition	be at, in, on; consist in, rest
U+8F09	kMandarin	zài
U+8F09	kDefinition	load; carry; transport, convey
U+947F	kMandarin	záo
U+947F	kDefinition	chisel; bore, pierce
U+65E9	kMandarin	zǎo
U+65E9	kDefinition	early; soon; morning
U+71E5	kMandarin	zào
U+71E5	kDefinition	dry, parched, arid; quick-tempered
U+9020	kMandarin	zào
U+9020	kDefinition	construct, build, make, begin; prepare
U+5219	kMandarin	zé
U+5219	kDefinition	rule, law, regulation; grades
U+5247	kMandarin	zé
U+5247	kDefinition	rule, law, regulation; grades
U+8CCA	kMandarin	zéi
U+8CCA	kDefinition	thief, traitor
U+618E	kMandarin	zēng
U+618E	kDefinition	hate, detest, abhor; hatred
U+6230	kMandarin	zhàn
U+6230	kDefinition	war, fighting, battle
U+5F35	kMandarin	zhāng
U+5F35	kDefinition	stretch, extend, expand; sheet; 26th lunar mansion, determinative star υ¹ Hydrae
U+5F70	kMandarin	zhāng
U+5F70	kDefinition	clear, manifest, obvious
U+7AE0	kMandarin	zhāng
U+7AE0	kDefinition	composition; chapter, section
U+9577	kMandarin	zhǎng
U+9577	kDefinition	long; length; excel in; leader; Kangxi radical 168
U+957F	kMandarin	zhǎng
U+957F	kDefinition	long; length; excel in; leader
U+62DB	kMandarin	zhāo
U+62DB	kDefinition	beckon, summon; recruit, levy
U+6298	kMandarin	zhé
U+6298	kDefinition	break off, snap; bend
U+8005	kMandarin	zhě
U+8005	kDefinition	that which; he who; those who
U+8C9E	kMandarin	zhēn
U+8C9E	kDefinition	virtuous, chaste, pure; loyal
U+8D1E	kMandarin	zhēn
U+8D1E	kDefinition	virtuous, chaste, pure; loyal
U+93AE	kMandarin	zhèn
U+93AE	kDefinition	town, market place; suppress
U+9707	kMandarin	zhèn
U+9707	kDefinition	shake, quake, tremor; excite; trigram ☳; hexagram ䷲
U+722D	kMandarin	zhēng
U+722D	kDefinition	to dispute, fight, contend, strive
U+653F	kMandarin	zhèng
U+653F	kDefinition	government, political affairs
U+6B63	kMandarin	zhèng
U+6B63	kDefinition	right, proper, correct
U+4E4B	kMandarin	zhī
U+4E4B	kDefinition	marks preceding phrase as modifier of following phrase; it, him her, them; go to
U+77E5	kMandarin	zhī
U+77E5	kDefinition	know, perceive, comprehend
U+829D	kMandarin	zhī
U+829D	kDefinition	sesame; a purplish or brown mushroom thought to have miraculous powers; 'a divine and felicitous plant' (Karlgren)
U+76F4	kMandarin	zhí
U+76F4	kDefinition	straight, erect, vertical
U+8DD6	kMandarin	zhí
U+8DD6	kDefinition	sole (of the foot)
U+5FB5	kMandarin	zhǐ
U+5FB5	kDefinition	summon, recruit; musical note
U+5236	kMandarin	zhì
U+5236	kDefinition	system; establish; overpower
U+5FD7	kMandarin	zhì
U+5FD7	kDefinition	purpose, will, determination; annals
U+6CBB	kMandarin	zhì
U+6CBB	kDefinition	govern, regulate, administer
U+81F3	kMandarin	zhì
U+81F3	kDefinition	reach, arrive; extremely, very; Kangxi radical 133
U+8E93	kMandarin	zhì
U+8E93	kDefinition	stumble, totter; fail, be frustrated
U+965F	kMandarin	zhì
U+965F	kDefinition	climb, scale, ascend; proceed
U+9DD9	kMandarin	zhì
U+9DD9	kDefinition	hawk, vulture
U+4E2D	kMandarin	zhōng
U+4E2D	kDefinition	central; center, middle; in the midst of; hit (target); attain
U+5FE0	kMandarin	zhōng
U+5FE0	kDefinition	loyalty, devotion, fidelity
U+7D42	kMandarin	zhōng
U+7D42	kDefinition	end; finally, in the end
U+7EC8	kMandarin	zhōng
U+7EC8	kDefinition	end; finally, in the end
U+4EF2	kMandarin	zhòng
U+4EF2	kDefinition	middle brother; go between, mediator; surname
U+773E	kMandarin	zhòng
U+773E	kDefinition	masses, people, multitude, crowd
U+91CD	kMandarin	zhòng
U+91CD	kDefinition	heavy, weighty; double
U+5468	kMandarin	zhōu
U+5468	kDefinition	Zhou dynasty; circumference
U+8EF8	kMandarin	zhóu
U+8EF8	kDefinition	axle, axletree; pivot; axis
U+8AF8	kMandarin	zhū
U+8AF8	kDefinition	several, various
U+7AF9	kMandarin	zhú
U+7AF9	kDefinition	bamboo; flute; Kangxi radical 118
U+9010	kMandarin	zhú
U+9010	kDefinition	chase, expel; one by one
U+4E3B	kMandarin	zhǔ
U+4E3B	kDefinition	master, chief owner; host; lord
U+52A9	kMandarin	zhù
U+52A9	kDefinition	help, aid, assist
U+6CE8	kMandarin	zhù
U+6CE8	kDefinition	concentrate, focus, direct
U+7D35	kMandarin	zhù
U+7D35	kDefinition	ramie; sack cloth
U+5C08	kMandarin	zhuān
U+5C08	kDefinition	monopolize, take sole possession
U+58EF	kMandarin	zhuàng
U+58EF	kDefinition	big, large; robust; name of tribe
U+8CC7	kMandarin	zī
U+8CC7	kDefinition	property; wealth; capital
U+8D44	kMandarin	zī
U+8D44	kDefinition	property; wealth; capital
U+5B50	kMandarin	zǐ
U+5B50	kDefinition	offspring, child; fruit, seed of; first earthly branch
U+8A3E	kMandarin	zǐ
U+8A3E	kDefinition	bad-mouth; criticize; defects
U+81EA	kMandarin	zì
U+81EA	kDefinition	self, private, personal; from; Kangxi radical 132
U+5B97	kMandarin	zōng
U+5B97	kDefinition	lineage, ancestry; ancestor, clan
U+8D70	kMandarin	zǒu
U+8D70	kDefinition	walk, go on foot; run; leave; Kangxi radical 156
U+8DB3	kMandarin	zú
U+8DB3	kDefinition	foot; attain, satisfy, enough; Kangxi radical 156
U+7956	kMandarin	zǔ
U+7956	kDefinition	ancestor, forefather; grandfather
U+7F6A	kMandarin	zuì
U+7F6A	kDefinition	crime, sin, vice; evil; hardship
U+5C0A	kMandarin	zūn
U+5C0A	kDefinition	respect, revere, venerate; honor
U+5642	kMandarin	zǔn
U+5642	kDefinition	meet
U+4F5C	kMandarin	zuò
U+4F5C	kDefinition	make; work; compose, write; act, perform
U+5750	kMandarin	zuò
U+5750	kDefinition	sit; seat; ride, travel by
U+459D	kMandarin	chóng
U+4E01	kMandarin	dīng
U+4E03	kMandarin	qī
U+4E11	kMandarin	chǒu
U+4E18	kMandarin	qiū
U+4E19	kMandarin	bǐng
U+4E25	kMandarin	yán
U+4E3D	kMandarin	lì
U+4E56	kMandarin	guāi
U+4E59	kMandarin	yǐ
U+4E71	kMandarin	luàn
U+4E92	kMandarin	hù
U+4EAC	kMandarin	jīng
U+4EB6	kMandarin	dǎn
U+4EC6	kMandarin	pū
U+4ECA	kMandarin	jīn
U+4ECB	kMandarin	jiè
U+4ED5	kMandarin	shì
U+4ED6	kMandarin	tā
U+4ED9	kMandarin	xiān
U+4EE3	kMandarin	dài
U+4EE4	kMandarin	lìng
U+4F01	kMandarin	qǐ
U+4F0A	kMandarin	yī
U+4F17	kMandarin	zhòng
U+4F2F	kMandarin	bó
U+4F38	kMandarin	shēn
U+4F3C	kMandarin	shì
U+4F4F	kMandarin	zhù
U+4F50	kMandarin	zuǒ
U+4F51	kMandarin	yòu
U+4F69	kMandarin	pèi
U+4F6F	kMandarin	yáng
U+4F75	kMandarin	bìng
U+4F9B	kMandarin	gōng
U+4FAE	kMandarin	wǔ
U+4FB5	kMandarin	qīn
U+4FBF	kMandarin	biàn
U+4FCA	kMandarin	jùn
U+4FDF	kMandarin	qí
U+4FED	kMandarin	jiǎn
U+500D	kMandarin	bèi
U+501A	kMandarin	yǐ
U+501F	kMandarin	jiè
U+5021	kMandarin	chàng
U+502B	kMandarin	lún
U+503E	kMandarin	qīng
U+5074	kMandarin	cè
U+508D	kMandarin	bàng
U+50AB	kMandarin	lěi
U+50B2	kMandarin	ào
U+50D1	kMandarin	qiáo
U+50F5	kMandarin	jiāng
U+5100	kMandarin	yí
U+5104	kMandarin	yì
U+5109	kMandarin	jiǎn
U+512A	kMandarin	yōu
U+5141	kMandarin	yǔn
U+5146	kMandarin	zhào
U+5152	kMandarin	ér
U+5154	kMandarin	tù
U+5171	kMandarin	gòng
U+5177	kMandarin	jù
U+5178	kMandarin	diǎn
U+5179	kMandarin	zī
U+5185	kMandarin	nèi
U+518A	kMandarin	cè
U+518D	kMandarin	zài
U+51A0	kMandarin	guān
U+51A4	kMandarin	yuān
U+51CC	kMandarin	líng
U+51DD	kMandarin	níng
U+51E1	kMandarin	fán
U+5207	kMandarin	qiè
U+5211	kMandarin	xíng
U+5217	kMandarin	liè
U+5224	kMandarin	pàn
U+5230	kMandarin	dào
U+523B	kMandarin	kè
U+524A	kMandarin	xuē
U+524B	kMandarin	kè
U+524D	kMandarin	qián
U+5265	kMandarin	bō
U+5272	kMandarin	gē
U+52A0	kMandarin	jiā
U+52B5	kMandarin	juàn
U+52D1	kMandarin	chì
U+52DD	kMandarin	shèng
U+52E2	kMandarin	shì
U+52FE	kMandarin	gōu
U+5306	kMandarin	cōng
U+5308	kMandarin	xiōng
U+530F	kMandarin	páo
U+532A	kMandarin	fěi
U+532F	kMandarin	huì
U+5339	kMandarin	pǐ
U+533F	kMandarin	nì
U+5341	kMandarin	shí
U+5343	kMandarin	qiān
U+5348	kMandarin	wǔ
U+5351	kMandarin	bēi
U+5352	kMandarin	zú
U+5354	kMandarin	xié
U+535C	kMandarin	bo
U+536F	kMandarin	mǎo
U+5373	kMandarin	jí
U+5375	kMandarin	luǎn
U+537B	kMandarin	què
U+5384	kMandarin	è
U+5396	kMandarin	páng
U+539A	kMandarin	hòu
U+53A5	kMandarin	jué
U+53AD	kMandarin	yàn
U+53C8	kMandarin	yòu
U+53CB	kMandarin	yǒu
U+53E8	kMandarin	dāo
U+53EA	kMandarin	zhǐ
U+53EC	kMandarin	zhào
U+53F8	kMandarin	sī
U+540F	kMandarin	lì
U+5410	kMandarin	tǔ
U+541D	kMandarin	lìn
U+541E	kMandarin	tūn
U+542B	kMandarin	hán
U+5433	kMandarin	wú
U+5439	kMandarin	chuī
U+544A	kMandarin	gào
U+5471	kMandarin	gū
U+547C	kMandarin	hū
U+54BD	kMandarin	yàn
U+54ED	kMandarin	kū
U+54F2	kMandarin	zhé
U+5510	kMandarin	táng
U+5546	kMandarin	shāng
U+555E	kMandarin	yǎ
U+5588	kMandarin	jiē
U+55A7	kMandarin	xuān
U+55AC	kMandarin	qiáo
U+55AE	kMandarin	dān
U+55E3	kMandarin	sì
U+5614	kMandarin	ǒu
U+5635	kMandarin	xiāo
U+5670	kMandarin	yōng
U+56B4	kMandarin	yán
U+56BE	kMandarin	huān
U+56CA	kMandarin	náng
U+56D3	kMandarin	niè
U+56DA	kMandarin	qiú
U+56DE	kMandarin	huí
U+56FF	kMandarin	yòu
U+5703	kMandarin	pǔ
U+5712	kMandarin	yuán
U+572D	kMandarin	guī
U+573B	kMandarin	qí
U+5742	kMandarin	bǎn
U+5751	kMandarin	kēng
U+5782	kMandarin	chuí
U+57C3	kMandarin	āi
U+57D2	kMandarin	liè
U+57DF	kMandarin	yù
U+57F7	kMandarin	zhí
U+57FA	kMandarin	jī
U+582F	kMandarin	yáo
U+5857	kMandarin	tú
U+585E	kMandarin	sāi
U+5872	kMandarin	cháng
U+5875	kMandarin	chén
U+589C	kMandarin	zhuì
U+589E	kMandarin	zēng
U+58A0	kMandarin	shàn
U+58A8	kMandarin	mò
U+58AE	kMandarin	duò
U+58C1	kMandarin	bì
U+58C5	kMandarin	yōng
U+58EE	kMandarin	zhuàng
U+58FD	kMandarin	shòu
U+5907	kMandarin	bèi
U+5922	kMandarin	mèng
U+5947	kMandarin	qí
U+5951	kMandarin	qì
U+596A	kMandarin	duó
U+5974	kMandarin	nú
