# Synthetic Unihan_Readings.txt extracted from hexagram output
U+52D5	kDefinition	move, happen; movement, action
U+6597	kMandarin	dòu
U+6597	kDefinition	a dipper; unit of volume (ten 升 or litres); Kangxi radical 68; 8th lunar mansion, determinative star φ Sagittarii
U+9B2D	kMandarin	dòu
U+9B2D	kDefinition	struggle, fight, compete, contend; (Cant.) woodwork, carpentry
U+7368	kMandarin	dú
U+7368	kDefinition	alone, single, solitary, only
U+7779	kMandarin	dǔ
U+7779	kDefinition	look at, gaze at; observe
U+89A9	kMandarin	dǔ
U+89A9	kDefinition	see, gaze at, witness
U+8839	kMandarin	dù
U+8839	kDefinition	moth; insects which eat into cloth
U+7AEF	kMandarin	duān
U+7AEF	kDefinition	end, extreme; head; beginning
U+514C	kMandarin	duì
U+514C	kDefinition	cash; exchange, barter; weight; trigram ☱; hexagram ䷹
U+9041	kMandarin	dùn
U+9041	kDefinition	hide, conceal oneself; escape
U+906F	kMandarin	dùn
U+906F	kDefinition	deceive, hide, conceal; flee; hexagram ䷠
U+591A	kMandarin	duō
U+591A	kDefinition	much, many; more than, over
U+60E1	kMandarin	è
U+60E1	kDefinition	evil, wicked, bad, foul
U+9913	kMandarin	è
U+9913	kDefinition	hungry; greedy for; hunger
U+6069	kMandarin	ēn
U+6069	kDefinition	kindness, mercy, charity
U+800C	kMandarin	ér
U+800C	kDefinition	and; and then; and yet; but; Kangxi radical 126
U+4E8C	kMandarin	èr
U+4E8C	kDefinition	two; twice
U+53D1	kMandarin	fā
U+53D1	kDefinition	issue, dispatch, send out; hair
U+767C	kMandarin	fā
U+767C	kDefinition	issue, dispatch, send out, emit
U+4F10	kMandarin	fá
U+4F10	kDefinition	cut down, subjugate, attack
U+7F70	kMandarin	fá
U+7F70	kDefinition	penalty, fine; punish, penalize
U+85E9	kMandarin	fān
U+85E9	kDefinition	fence; boundary; outlying border
U+53CD	kMandarin	fǎn
U+53CD	kDefinition	reverse, opposite, contrary, anti
U+72AF	kMandarin	fàn
U+72AF	kDefinition	commit crime, violate; criminal
U+623F	kMandarin	fáng
U+623F	kDefinition	house, building; room; 4th lunar mansion, determinative star π Scorpii
U+653E	kMandarin	fàng
U+653E	kDefinition	put, release, free, liberate
U+975E	kMandarin	fēi
U+975E	kDefinition	not, negative, non-; oppose; Kangxi radical 175
U+98DB	kMandarin	fēi
U+98DB	kDefinition	fly; go quickly; dart; high; Kangxi radical 183
U+98DE	kMandarin	fēi
U+98DE	kDefinition	fly; go quickly; dart; high
U+5420	kMandarin	fèi
U+5420	kDefinition	bark
U+5EE2	kMandarin	fèi
U+5EE2	kDefinition	abrogate, terminate, discard
U+5206	kMandarin	fēn
U+5206	kDefinition	divide; small unit of time etc.
U+5C01	kMandarin	fēng
U+5C01	kDefinition	letter, envelope; feudal
U+8C50	kMandarin	fēng
U+8C50	kDefinition	abundant, lush, bountiful, plenty; hexagram ䷶
U+98A8	kMandarin	fēng
U+98A8	kDefinition	wind; air; manners, atmosphere; Kangxi radical 182
U+98CE	kMandarin	fēng
U+98CE	kDefinition	wind; air; manners, atmosphere
U+9022	kMandarin	féng
U+9022	kDefinition	come upon, happen meet; flatter
U+5949	kMandarin	fèng
U+5949	kDefinition	offer; receive; serve; respect
U+9CF3	kMandarin	fèng
U+9CF3	kDefinition	male phoenix; symbol of joy
U+5426	kMandarin	fǒu
U+5426	kDefinition	not, no, negative; final particle; hexagram ䷋
U+592B	kMandarin	fū
U+592B	kDefinition	man, male adult, husband; those
U+4F0F	kMandarin	fú
U+4F0F	kDefinition	crouch, crawl, lie hidden, conceal
U+4FD8	kMandarin	fú
U+4FD8	kDefinition	prisoner of war; take as prisoner
U+5B5A	kMandarin	fú
U+5B5A	kDefinition	brood over eggs; have confidence
U+5F17	kMandarin	fú
U+5F17	kDefinition	not, negative
U+670D	kMandarin	fú
U+670D	kDefinition	clothes; wear, dress
